State,Medical_School,Public,Schoolyear,Men,Women,All
AL,Alabama,1,2015-2016,434,346,780
AL,South Alabama,1,2015-2016,184,120,304
AR,Arkansas,1,2015-2016,444,260,704
AZ,Arizona,1,2015-2016,269,288,557
AZ,Arizona Phoenix,1,2015-2016,115,128,243
CA,California,0,2015-2016,,,
CA,California Northstate,0,2015-2016,41,19,60
CA,Loma Linda,0,2015-2016,412,316,728
CA,Southern Cal-Keck,0,2015-2016,423,367,790
CA,Stanford,0,2015-2016,246,237,483
CA,UC Davis,1,2015-2016,197,262,459
CA,UC Irvine,1,2015-2016,245,247,492
CA,UC Riverside,1,2015-2016,71,79,150
CA,UC San Diego,1,2015-2016,302,278,580
CA,UC San Francisco,1,2015-2016,391,405,796
CA,UCLA-Geffen,1,2015-2016,438,419,857
CO,Colorado,1,2015-2016,397,347,744
CT,Connecticut,1,2015-2016,206,210,416
CT,Quinnipiac-Netter,0,2015-2016,139,100,239
CT,Yale,0,2015-2016,285,242,527
DC,George Washington,0,2015-2016,329,418,747
DC,Georgetown,0,2015-2016,393,417,810
DC,Howard,0,2015-2016,261,227,488
FL,FIU-Wertheim,1,2015-2016,252,229,481
FL,Florida,1,2015-2016,303,279,582
FL,Florida Atlantic-Schmidt,1,2015-2016,131,130,261
FL,Florida State,1,2015-2016,249,240,489
FL,Miami-Miller,0,2015-2016,457,390,847
FL,Nova Southeastern-Patel,0,2015-2016,,,
FL,UCF,1,2015-2016,237,225,462
FL,USF-Morsani,1,2015-2016,403,309,712
GA,Emory,0,2015-2016,300,330,630
GA,MC Georgia Augusta,1,2015-2016,542,412,954
GA,Mercer,0,2015-2016,243,195,438
GA,Morehouse,0,2015-2016,126,172,298
HI,Hawaii-Burns,1,2015-2016,119,148,267
IA,Iowa-Carver,1,2015-2016,364,300,664
IL,Carle Illinois,1,2015-2016,,,
IL,Chicago Med Franklin,0,2015-2016,419,380,799
IL,Chicago-Pritzker,0,2015-2016,214,193,407
IL,Illinois,1,2015-2016,773,650,1423
IL,Loyola-Stritch,0,2015-2016,362,295,657
IL,Northwestern-Feinberg,0,2015-2016,420,313,733
IL,Rush,0,2015-2016,260,265,525
IL,Southern Illinois,1,2015-2016,167,126,293
IN,Indiana,1,2015-2016,791,645,1436
KS,Kansas,1,2015-2016,480,387,867
KY,Kentucky,1,2015-2016,316,225,541
KY,Louisville,1,2015-2016,383,263,646
LA,LSU New Orleans,1,2015-2016,481,336,817
LA,LSU Shreveport,1,2015-2016,247,239,486
LA,Tulane,0,2015-2016,448,365,813
MA,Boston,0,2015-2016,393,367,760
MA,Harvard,0,2015-2016,427,423,850
MA,Massachusetts,1,2015-2016,270,297,567
MA,Tufts,0,2015-2016,414,451,865
